                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.3421,                 1.1137,                 1.2694,                0.87983,                0.86607,                0.91689,                0.63988,                 1.1242,                0.80127,                 1.1594,             0.00045107,             0.00045107,             0.00045107
                     93,                 1.3031,                 1.0693,                 1.2377,                0.89082,                0.86618,                0.91024,                 0.6374,                 1.1038,                0.83208,                 1.1565,             0.00044373,             0.00044373,             0.00044373
                     94,                 1.3268,                 1.0481,                 1.2537,                0.90358,                0.85941,                0.91932,                0.63987,                 1.1229,                0.79035,                 1.1485,              0.0004364,              0.0004364,              0.0004364
                     95,                 1.3196,                 1.0444,                 1.2343,                0.92051,                0.87498,                 0.9252,                0.65347,                 1.0956,                0.77602,                 1.1367,             0.00042907,             0.00042907,             0.00042907
                     96,                 1.2999,                 1.0279,                  1.246,                 0.9118,                0.88757,                0.92857,                0.65441,                 1.1043,                0.77333,                 1.1447,             0.00042174,             0.00042174,             0.00042174
                     97,                 1.2941,                 1.0087,                 1.2379,                0.89683,                0.89483,                0.92656,                0.64695,                 1.1034,                0.80298,                 1.1372,              0.0004144,              0.0004144,              0.0004144
                     98,                 1.2944,                 1.0215,                 1.2488,                0.90911,                0.88474,                0.93154,                0.66089,                 1.0764,                 0.7873,                 1.1296,             0.00040707,             0.00040707,             0.00040707
                     99,                 1.2646,                 1.0161,                 1.2135,                0.90603,                 0.8865,                0.93304,                0.66721,                 1.0763,                0.76103,                 1.1262,             0.00039974,             0.00039974,             0.00039974
                    100,                 1.3029,                 1.0486,                  1.248,                0.87175,                0.87601,                0.92305,                  0.658,                 1.0905,                0.76283,                 1.1348,             0.00039241,             0.00039241,             0.00039241
                    101,                  1.274,                 1.0422,                 1.2014,                0.88238,                0.87652,                0.92695,                 0.6698,                 1.0679,                0.76601,                   1.12,             0.00038507,             0.00038507,             0.00038507
                    102,                 1.2415,                0.98384,                 1.2062,                0.91518,                0.86416,                0.92412,                0.67084,                 1.0424,                 0.7648,                 1.1107,             0.00037774,             0.00037774,             0.00037774
                    103,                 1.2499,                0.98561,                 1.2165,                0.90487,                0.84957,                0.91872,                0.66264,                 1.0509,                0.76956,                 1.1122,             0.00037041,             0.00037041,             0.00037041
                    104,                 1.2307,                 1.0005,                 1.2053,                0.93531,                0.84484,                0.92617,                0.66452,                 1.0586,                0.75436,                 1.1089,             0.00036307,             0.00036307,             0.00036307
                    105,                 1.2482,                0.98322,                 1.2018,                0.94586,                0.85611,                0.93509,                0.67564,                  1.038,                0.73414,                 1.1006,             0.00035574,             0.00035574,             0.00035574
                    106,                 1.2515,                0.96772,                 1.1959,                0.90833,                0.86814,                0.93168,                0.68721,                 1.0331,                0.73839,                 1.0978,             0.00034841,             0.00034841,             0.00034841
                    107,                 1.1903,                0.94987,                 1.1824,                0.92857,                0.87497,                0.92872,                0.68874,                 1.0195,                0.72077,                 1.0894,             0.00034108,             0.00034108,             0.00034108
                    108,                 1.2137,                0.93952,                 1.1977,                0.91708,                0.86508,                 0.9289,                0.68673,                 1.0192,                0.70836,                   1.09,             0.00033374,             0.00033374,             0.00033374
                    109,                 1.2172,                0.95675,                 1.1879,                 0.8949,                0.88546,                 0.9311,                0.69385,                 1.0036,                0.71404,                 1.0861,             0.00032641,             0.00032641,             0.00032641
                    110,                 1.1936,                0.91976,                 1.1844,                0.89164,                0.89951,                0.93952,                0.69449,                0.98953,                0.70879,                 1.0799,             0.00031908,             0.00031908,             0.00031908
                    111,                 1.2223,                0.95217,                  1.181,                0.91281,                0.90195,                0.94319,                0.70044,                0.98283,                0.70372,                  1.074,             0.00031175,             0.00031175,             0.00031175
                    112,                 1.1984,                0.93329,                 1.1801,                0.91228,                0.89749,                0.94107,                0.69444,                0.97812,                0.68914,                 1.0711,             0.00030441,             0.00030441,             0.00030441
                    113,                 1.2242,                0.93135,                  1.194,                0.92806,                0.87932,                0.93555,                0.69974,                0.97006,                0.68719,                 1.0698,             0.00029708,             0.00029708,             0.00029708
                    114,                 1.1927,                0.93237,                 1.1864,                0.93082,                0.87935,                 0.9375,                0.70951,                0.96172,                0.69413,                 1.0586,             0.00028975,             0.00028975,             0.00028975
                    115,                 1.1945,                0.91222,                 1.1689,                0.91677,                0.89535,                0.93785,                 0.7079,                0.97002,                  0.693,                 1.0598,             0.00028242,             0.00028242,             0.00028242
                    116,                 1.2023,                0.94766,                 1.1928,                0.91598,                0.88872,                0.93775,                0.71041,                0.95506,                0.68198,                 1.0575,             0.00027508,             0.00027508,             0.00027508
                    117,                 1.1871,                 0.9399,                 1.1797,                 0.9036,                0.90126,                0.94126,                0.70137,                0.93942,                0.69228,                 1.0527,             0.00026775,             0.00026775,             0.00026775
                    118,                  1.185,                0.91786,                 1.1936,                0.91982,                0.90611,                0.94373,                0.70778,                0.94142,                 0.6704,                 1.0566,             0.00026042,             0.00026042,             0.00026042
                    119,                 1.1658,                0.93582,                 1.1715,                0.94217,                0.88853,                 0.9398,                0.71054,                0.94419,                0.67958,                 1.0561,             0.00025309,             0.00025309,             0.00025309
