                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.3285,                 1.2265,                 1.2528,                0.70516,                0.68425,                0.75507,                0.50852,                 1.1175,                0.83195,                 1.1318,             0.00020205,             0.00020205,             0.00020205
                     75,                 1.3045,                 1.1945,                  1.236,                0.72461,                0.66884,                0.76031,                0.50132,                  1.095,                0.82053,                 1.1294,             0.00019951,             0.00019951,             0.00019951
                     76,                 1.2642,                 1.1686,                  1.208,                0.73166,                0.72032,                0.77789,                0.52722,                 1.0705,                  0.807,                 1.1169,             0.00019697,             0.00019697,             0.00019697
                     77,                 1.2772,                 1.1665,                 1.2336,                0.75138,                0.67266,                0.77958,                0.54428,                  1.071,                0.80379,                 1.1177,             0.00019442,             0.00019442,             0.00019442
                     78,                 1.3167,                 1.1715,                 1.2361,                0.74376,                0.68549,                0.77335,                0.54128,                 1.0914,                0.78326,                 1.1099,             0.00019188,             0.00019188,             0.00019188
                     79,                 1.2504,                 1.1285,                 1.1926,                0.69062,                0.66854,                0.74537,                0.53022,                 1.0515,                0.80251,                 1.0959,             0.00018934,             0.00018934,             0.00018934
                     80,                 1.2335,                 1.1472,                 1.2043,                0.74346,                0.72073,                0.78323,                0.55669,                  1.027,                0.76853,                 1.0826,              0.0001868,              0.0001868,              0.0001868
                     81,                 1.2687,                 1.1382,                 1.2117,                0.76798,                0.71089,                0.78208,                0.55532,                 1.0439,                0.77004,                 1.0946,             0.00018426,             0.00018426,             0.00018426
                     82,                 1.2451,                 1.1164,                 1.2164,                0.75014,                0.71267,                0.78897,                0.56963,                 1.0245,                0.75223,                 1.0886,             0.00018172,             0.00018172,             0.00018172
                     83,                  1.267,                  1.148,                 1.2139,                0.76985,                0.69045,                0.78395,                0.56105,                 1.0261,                 0.7589,                 1.0864,             0.00017918,             0.00017918,             0.00017918
                     84,                 1.2248,                 1.0958,                 1.1893,                0.75501,                0.69585,                0.78806,                 0.5675,                 1.0177,                0.75048,                 1.0693,             0.00017664,             0.00017664,             0.00017664
                     85,                 1.2538,                 1.0819,                 1.2104,                0.74078,                0.73275,                0.79257,                0.57274,                 1.0248,                0.76767,                 1.0918,              0.0001741,              0.0001741,              0.0001741
                     86,                  1.233,                 1.0753,                  1.185,                0.71265,                0.72793,                0.78387,                0.55695,                 1.0159,                0.76689,                 1.0763,             0.00017156,             0.00017156,             0.00017156
                     87,                  1.234,                 1.0909,                 1.1924,                0.75672,                0.70061,                 0.7799,                  0.559,                0.99341,                0.73169,                 1.0733,             0.00016901,             0.00016901,             0.00016901
                     88,                 1.2232,                 1.0604,                 1.1819,                0.74147,                0.70819,                0.77559,                0.54724,                 1.0176,                0.74524,                 1.0707,             0.00016647,             0.00016647,             0.00016647
                     89,                 1.2079,                 1.0997,                 1.1775,                0.74432,                0.71813,                0.79627,                0.56782,                 1.0071,                0.72802,                 1.0688,             0.00016393,             0.00016393,             0.00016393
                     90,                 1.2367,                  1.057,                 1.1757,                0.74991,                0.71886,                0.80194,                0.58637,                 0.9754,                0.70773,                 1.0542,             0.00016139,             0.00016139,             0.00016139
                     91,                 1.2226,                 1.0763,                 1.1737,                0.79559,                0.69264,                0.80536,                0.57886,                0.98585,                0.73261,                 1.0582,             0.00015885,             0.00015885,             0.00015885
                     92,                  1.206,                 1.0157,                 1.1588,                0.76963,                0.74124,                0.81397,                0.60339,                0.95562,                0.70102,                 1.0395,             0.00015631,             0.00015631,             0.00015631
                     93,                 1.1952,                  1.039,                 1.1576,                0.74701,                0.71314,                0.78884,                0.57694,                0.97809,                0.72797,                 1.0529,             0.00015377,             0.00015377,             0.00015377
                     94,                 1.1963,                  1.022,                 1.1637,                0.72852,                0.75028,                0.80069,                0.59118,                0.95563,                0.70829,                 1.0521,             0.00015123,             0.00015123,             0.00015123
                     95,                 1.1955,                 1.0318,                 1.1746,                0.78831,                0.72209,                0.80686,                0.59808,                0.95374,                0.69426,                  1.054,             0.00014869,             0.00014869,             0.00014869
                     96,                 1.1497,                 1.0112,                 1.1509,                 0.7876,                0.71235,                0.81172,                0.60393,                0.92842,                0.70234,                 1.0359,             0.00014615,             0.00014615,             0.00014615
                     97,                 1.1814,                 1.0353,                 1.1681,                 0.7799,                0.74981,                 0.8188,                0.59427,                 0.9508,                0.69251,                 1.0428,             0.00014361,             0.00014361,             0.00014361
