Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
Fortuner,Toyota,2700 cc,SUV,2017,"55,000 km",Petrol,Automatic,Lahore,PKR 1.17 crore
Fortuner,Toyota,2800 cc,SUV,2022,"6,500 km",Diesel,Automatic,Islamabad,PKR 1.82 crore
Fortuner,Toyota,2700 cc,SUV,2022,"16,800 km",Petrol,Automatic,Sindh,PKR 1.3 crore
Fortuner,Toyota,2700 cc,SUV,2019,"37,063 km",Petrol,Automatic,Punjab,PKR 1.62 crore
Fortuner,Toyota,2700 cc,SUV,2017,"22,173 km",Petrol,Automatic,Multan,PKR 1.35 crore
Fortuner,Toyota,2700 cc,SUV,2016,"93,789 km",Petrol,Automatic,Lahore,PKR 1 crore
Fortuner,Toyota,2700 cc,SUV,2013,"85,304 km",Petrol,Automatic,Lahore,PKR 69 lacs
Fortuner,Toyota,2800 cc,SUV,2022,"21,000 km",Diesel,Automatic,Islamabad,PKR 1.68 crore
Fortuner,Toyota,2700 cc,SUV,2021,"20,000 km",Petrol,Automatic,Sindh,PKR 1.48 crore
Fortuner,Toyota,2700 cc,SUV,2017,"65,000 km",Petrol,Automatic,Sindh,PKR 1.07 crore
Fortuner,Toyota,2700 cc,N/A,2015,"75,000 km",Petrol,Automatic,Lahore,PKR 89 lacs
Fortuner,Toyota,2700 cc,SUV,2023,"8,100 km",Diesel,Automatic,Islamabad,PKR 2.02 crore
Fortuner,Toyota,2800 cc,SUV,2021,"29,000 km",Diesel,Automatic,Punjab,PKR 1.58 crore
Fortuner,Toyota,2800 cc,SUV,2022,"10,000 km",Diesel,Automatic,Islamabad,PKR 1.87 crore
Fortuner,Toyota,2700 cc,SUV,2021,"42,000 km",Petrol,Automatic,Punjab,PKR 1.48 crore
Fortuner,Toyota,2800 cc,SUV,2022,"9,000 km",Diesel,Automatic,Sindh,PKR 1.88 crore
Fortuner,Toyota,2800 cc,SUV,2021,"24,000 km",Diesel,Automatic,Islamabad,PKR 1.53 crore
Fortuner,Toyota,2800 cc,SUV,2018,"43,665 km",Diesel,Automatic,Islamabad,PKR 1.4 crore
Fortuner,Toyota,2700 cc,SUV,2016,"80,000 km",Petrol,Automatic,Islamabad,PKR 82 lacs
Fortuner,Toyota,2700 cc,SUV,2017,"92,000 km",Petrol,Automatic,Sindh,PKR 1.1 crore
Fortuner,Toyota,2700 cc,SUV,2017,"6,800 km",Petrol,Automatic,Karachi,PKR 1.25 crore
Fortuner,Toyota,2700 cc,SUV,2017,"64,881 km",Petrol,Automatic,Sindh,PKR 1.2 crore
Fortuner,Toyota,2700 cc,SUV,2018,"110,000 km",Petrol,Automatic,Islamabad,PKR 1.16 crore
Fortuner,Toyota,2700 cc,SUV,2017,"68,000 km",Petrol,Automatic,Karachi,PKR 1.02 crore
Fortuner,Toyota,2700 cc,SUV,2022,"20,000 km",Petrol,Automatic,Punjab,PKR 1.55 crore
Fortuner,Toyota,2700 cc,SUV,2017,"90,000 km",Petrol,Automatic,Sindh,PKR 1.13 crore
Fortuner,Toyota,2800 cc,SUV,2018,"149,000 km",Diesel,Automatic,Sindh,PKR 1.2 crore
Fortuner,Toyota,2800 cc,SUV,2018,"90,000 km",Diesel,Automatic,Punjab,PKR 1.29 crore
Fortuner,Toyota,2800 cc,SUV,2023,29 km,Diesel,Automatic,Un-Registered,PKR 1.95 crore
Fortuner,Toyota,2700 cc,SUV,2017,"127,000 km",Petrol,Automatic,Sindh,PKR 99 lacs
Fortuner,Toyota,2800 cc,SUV,2022,"19,434 km",Diesel,Automatic,Islamabad,PKR 1.69 crore
Fortuner,Toyota,2700 cc,SUV,2022,"2,000 km",Petrol,Automatic,Sindh,PKR 1.62 crore
Fortuner,Toyota,2800 cc,SUV,2022,"17,000 km",Diesel,Automatic,Punjab,PKR 1.59 crore
Fortuner,Toyota,2800 cc,SUV,2022,"14,500 km",Diesel,Automatic,Islamabad,PKR 1.87 crore
Fortuner,Toyota,2800 cc,SUV,2021,"28,000 km",Diesel,Automatic,Islamabad,PKR 1.55 crore
Fortuner,Toyota,2800 cc,SUV,2020,"22,500 km",Diesel,Automatic,Punjab,PKR 1.65 crore
Fortuner,Toyota,2700 cc,SUV,2015,"75,000 km",Petrol,Automatic,Islamabad,PKR 73.95 lacs
Fortuner,Toyota,2800 cc,SUV,2021,"30,000 km",Diesel,Automatic,Punjab,PKR 1.58 crore
Fortuner,Toyota,2800 cc,SUV,2020,"50,000 km",Diesel,Automatic,Islamabad,PKR 1.47 crore
Fortuner,Toyota,2800 cc,SUV,2021,"28,000 km",Diesel,Automatic,Punjab,PKR 1.58 crore
Fortuner,Toyota,2700 cc,SUV,2013,"128,000 km",Petrol,Automatic,Lahore,PKR 74.5 lacs
Fortuner,Toyota,2700 cc,SUV,2022,"9,800 km",Petrol,Automatic,Punjab,PKR 1.55 crore
Fortuner,Toyota,2700 cc,SUV,2021,"2,700 km",Petrol,Automatic,Islamabad,PKR 1.4 crore
Fortuner,Toyota,2800 cc,SUV,2023,"10,700 km",Diesel,Automatic,Punjab,PKR 2.06 crore
Fortuner,Toyota,2800 cc,SUV,2021,"42,000 km",Diesel,Automatic,Punjab,PKR 1.46 crore
