,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
6821,Prius,Toyota,1800,Sedan,2016,153702,Hybrid,Automatic,Lahore,72.0
6822,Prius,Toyota,1800,Sedan,2020,13000,Hybrid,Automatic,Un-Registered,120.0
6823,Prius,Toyota,1800,MPV,2018,89000,Petrol,Automatic,Islamabad,80.5
6824,Prius,Toyota,1800,Sedan,2015,200000,Petrol,Automatic,Islamabad,52.5
6825,Prius,Toyota,1500,Sedan,2010,100000,Hybrid,Automatic,Islamabad,33.5
6826,Prius,Toyota,1800,Sedan,2020,56400,Petrol,Automatic,Un-Registered,135.0
6827,Prius,Toyota,1800,Sedan,2023,2100,Hybrid,Automatic,Un-Registered,185.0
6828,Prius,Toyota,1800,Sedan,2015,133000,Hybrid,Automatic,Islamabad,64.0
6829,Prius,Toyota,1800,Sedan,2020,8400,Hybrid,Automatic,Un-Registered,99.0
6830,Prius,Toyota,1800,Sedan,2020,42000,Hybrid,Automatic,Karachi,81.5
6831,Prius,Toyota,1800,Sedan,2020,35000,Petrol,Automatic,Un-Registered,110.00000000000001
6832,Prius,Toyota,1500,Sedan,2007,180000,Petrol,Automatic,Karachi,25.9
6833,Prius,Toyota,1800,MPV,2020,121000,Petrol,Automatic,Un-Registered,87.5
6834,Prius,Toyota,1800,Sedan,2020,71000,Hybrid,Automatic,Un-Registered,114.99999999999999
6835,Prius,Toyota,1800,Hatchback,2020,33500,Hybrid,Automatic,Un-Registered,130.0
6836,Prius,Toyota,1800,Sedan,2015,195500,Hybrid,Automatic,Islamabad,62.0
6837,Prius,Toyota,1800,Sedan,2020,85737,Hybrid,Automatic,Un-Registered,97.5
6838,Prius,Toyota,1800,Sedan,2013,231000,Hybrid,Automatic,Islamabad,47.8
6839,Prius,Toyota,1500,Sedan,2011,165000,Hybrid,Automatic,Sindh,33.5
6840,Prius,Toyota,1800,Sedan,2011,136000,Hybrid,Automatic,Lahore,39.5
6841,Prius,Toyota,1800,Sedan,2014,180000,Hybrid,Automatic,Islamabad,47.65
6842,Prius,Toyota,1800,Sedan,2014,180000,Hybrid,Automatic,Islamabad,47.65
6843,Prius,Toyota,1800,Sedan,2014,180000,Hybrid,Automatic,Islamabad,47.65
6844,Prius,Toyota,1800,Sedan,2014,180000,Hybrid,Automatic,Islamabad,47.65
6845,Prius,Toyota,1800,Sedan,2011,150000,Petrol,Automatic,Islamabad,43.0
6846,Prius,Toyota,1800,Sedan,2014,125123,Hybrid,Automatic,Islamabad,37.75
6847,Prius,Toyota,1800,Sedan,2012,97500,Petrol,Automatic,Sindh,41.0
6848,Prius,Toyota,1800,Sedan,2013,120000,Hybrid,Automatic,Islamabad,45.5
6849,Prius,Toyota,1800,Sedan,2017,110000,Hybrid,Automatic,Islamabad,80.0
6850,Prius,Toyota,1800,Sedan,2018,83000,Hybrid,Automatic,Islamabad,82.0
6851,Prius,Toyota,660,Sedan,2013,104000,Petrol,Automatic,Sindh,31.0
6852,Prius,Toyota,1800,Sedan,2013,130000,Hybrid,Automatic,Karachi,47.0
6853,Prius,Toyota,1800,Sedan,2012,140000,Hybrid,Automatic,Lahore,38.95
6854,Prius,Toyota,1800,Sedan,2010,138000,Hybrid,Automatic,Islamabad,46.0
6855,Pajero,Mitsubishi,3400,SUV,2003,148000,Petrol,Automatic,Karachi,50.0
6856,Prius,Toyota,1500,Sedan,2011,148000,Hybrid,Automatic,Karachi,30.5
6857,Prius,Toyota,1800,Sedan,2011,180000,Hybrid,Automatic,Lahore,43.0
6858,Prius,Toyota,1800,Sedan,2013,159400,Petrol,Automatic,Islamabad,48.5
6859,Prius,Toyota,1800,Sedan,2010,117000,Hybrid,Automatic,Lahore,41.9
6860,Prius,Toyota,1800,Sedan,2012,168000,Hybrid,Automatic,Karachi,39.75
6861,Prius,Toyota,1800,Sedan,2011,90000,Hybrid,Automatic,Lahore,42.5
6862,Prius,Toyota,1800,Sedan,2015,123646,Petrol,Automatic,Islamabad,50.0
6863,Prius,Toyota,1800,Sedan,2020,17060,Hybrid,Automatic,Un-Registered,94.0
6864,Prius,Toyota,1800,Sedan,2020,33000,Hybrid,Automatic,Un-Registered,84.0
6865,Prius,Toyota,1800,Sedan,2014,149000,Hybrid,Automatic,Islamabad,52.5
6866,Prius,Toyota,1800,Sedan,2014,100000,Hybrid,Automatic,Islamabad,55.0
6867,Prius,Toyota,1800,Sedan,2020,32000,Petrol,Automatic,Un-Registered,88.5
6868,Prius,Toyota,1800,Sedan,2010,92000,Petrol,Automatic,Islamabad,46.0
6869,Prius,Toyota,1800,MPV,2012,246000,Petrol,Automatic,Punjab,39.9
6870,Prius,Toyota,1800,Sedan,2020,87000,Petrol,Automatic,Un-Registered,105.0
6871,Prius,Toyota,1800,Sedan,2020,17500,Hybrid,Automatic,Un-Registered,98.0
6872,Prius,Toyota,1800,Sedan,2020,19765,Petrol,Automatic,Un-Registered,110.00000000000001
6873,Passo,Toyota,1000,Hatchback,2015,99000,Petrol,Automatic,Karachi,24.95
6874,Prius,Toyota,1800,MPV,2015,179998,Petrol,Automatic,Islamabad,41.0
6875,Prius,Toyota,1800,Sedan,2018,130000,Hybrid,Automatic,Un-Registered,70.75
6876,Prius,Toyota,1800,Sedan,2014,174000,Hybrid,Automatic,Islamabad,49.5
6877,Prius,Toyota,1800,Sedan,2018,66500,Petrol,Automatic,Islamabad,95.0
6878,Prius,Toyota,1800,Sedan,2010,200000,Hybrid,Automatic,Sindh,41.0
6879,Prius,Toyota,1800,Sedan,2014,75000,Petrol,Automatic,Karachi,46.5
6880,Prius,Toyota,1800,Sedan,2018,120000,Hybrid,Automatic,Islamabad,77.35
6881,Prius,Toyota,1800,Sedan,2010,100000,Petrol,Automatic,Islamabad,48.0
