,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
227,Swift,Suzuki,1240 cc,Hatchback,2022,"20,000 km",Petrol,Automatic,Islamabad,PKR 43 lacs
228,Swift,Suzuki,1300 cc,Hatchback,2016,"67,582 km",Petrol,Automatic,Lahore,PKR 26.5 lacs
229,Swift,Suzuki,1300 cc,Hatchback,2015,"135,220 km",Petrol,Manual,Punjab,PKR 20 lacs
230,Swift,Suzuki,1242 cc,Hatchback,2022,"17,000 km",Petrol,Automatic,Lahore,PKR 44.95 lacs
231,Swift,Suzuki,1300 cc,Hatchback,2013,123 km,Petrol,Manual,Multan,PKR 20 lacs
232,Swift,Suzuki,1300 cc,Hatchback,2014,"136,000 km",Petrol,Automatic,Islamabad,PKR 22.5 lacs
233,Swift,Suzuki,1200 cc,N/A,2022,"11,000 km",Petrol,Automatic,Sindh,PKR 41 lacs
234,Swift,Suzuki,1242 cc,Hatchback,2022,"2,800 km",Petrol,Automatic,Un-Registered,PKR 48 lacs
235,Swift,Suzuki,1300 cc,Hatchback,2021,"64,000 km",Petrol,Manual,Islamabad,PKR 27.2 lacs
236,Swift,Suzuki,1300 cc,Hatchback,2012,"90,000 km",Petrol,Manual,Lahore,PKR 17.75 lacs
237,Swift,Suzuki,1300 cc,Hatchback,2012,"150,000 km",Petrol,Manual,Lahore,PKR 18.5 lacs
238,Swift,Suzuki,1200 cc,Hatchback,2010,"124,000 km",Petrol,Automatic,Islamabad,PKR 38 lacs
239,Swift,Suzuki,1240 cc,Hatchback,2022,"30,867 km",Petrol,Automatic,Punjab,PKR 42.2 lacs
240,Swift,Suzuki,1300 cc,Hatchback,2012,"45,000 km",Petrol,Manual,Lahore,PKR 16.9 lacs
241,Swift,Suzuki,1300 cc,Hatchback,2020,"60,000 km",Petrol,Automatic,Lahore,PKR 30.75 lacs
242,Swift,Suzuki,1300 cc,Hatchback,2014,"99,999 km",Petrol,Manual,Lahore,PKR 24 lacs
243,Note,Nissan,1200 cc,Hatchback,2022,"4,950 km",Hybrid,Automatic,Un-Registered,PKR 1.19 crore
244,Swift,Suzuki,1300 cc,Hatchback,2020,"40,000 km",Petrol,Automatic,Sindh,PKR 29 lacs
245,Swift,Suzuki,1300 cc,Hatchback,2013,"64,000 km",Petrol,Manual,Islamabad,PKR 22 lacs
246,Swift,Suzuki,1300 cc,Hatchback,2017,"75,000 km",Petrol,Manual,Islamabad,PKR 23.75 lacs
247,Swift,Suzuki,1300 cc,Hatchback,2011,"107,000 km",Petrol,Manual,Islamabad,PKR 18.25 lacs
248,Swift,Suzuki,1300 cc,Hatchback,2019,"75,000 km",Petrol,Automatic,Islamabad,PKR 29.1 lacs
